ATYPIDAE,Atypus,affinis,Eichwald, 1830 E S W RI NS 
THERIDIIDAE,Enoplognatha,caricis,(Fickert, 1876) Enoplognatha tecta Enoplognatha tecta E NR V 
THERIDIIDAE,Enoplognatha,oelandica,(Thorell, 1875) E NR CE 
THERIDIIDAE,Robertus,lividus,(Blackwall, 1836) E S W NI RI 
THERIDIIDAE,Robertus,arundineti,(O. P.-Cambridge, 1871) E S W NI RI 
THERIDIIDAE,Robertus,neglectus,(O. P.-Cambridge, 1871) E S W NI RI NS 
THERIDIIDAE,Robertus,scoticus,Jackson, 1914 S NR CE 
THERIDIIDAE,Robertus,insignis,O. P.-Cambridge, 1907 E NR DD 
THERIDIIDAE,Pholcomma,gibbum,(Westring, 1851) E S W NI RI 
THERIDIIDAE,Theonoe,minutissima,(O. P.-Cambridge, 1879) E S W NI RI 
THERIDIOSOMATIDAE,Theridiosoma,gemmosum,(L. Koch, 1877) E W NI RI NS 
MYSMENIDAE,Trogloneta,granulum,Simon, 1922 Not present Not present W 
LINYPHIIDAE,Ceratinella,brevipes,(Westring, 1851) E S W NI RI 
LINYPHIIDAE,Ceratinella,brevis,(Wider, 1834) E S W NI RI 
LINYPHIIDAE,Ceratinella,scabrosa,(O. P.-Cambridge, 1871) E S W NI RI 
LINYPHIIDAE,Walckenaeria,acuminata,Blackwall, 1833 E S W NI RI 
LINYPHIIDAE,Walckenaeria,mitrata,(Menge, 1868) E NR V 
LINYPHIIDAE,Walckenaeria,antica,(Wider, 1834) E S W NI RI 
LINYPHIIDAE,Walckenaeria,alticeps,(Denis, 1952) E S W NI RI NS 
LINYPHIIDAE,Walckenaeria,cucullata,(C. L. Koch, 1836) E S W RI 
LINYPHIIDAE,Walckenaeria,nodosa,O. P.-Cambridge, 1873 E S W NI RI NS 
LINYPHIIDAE,Walckenaeria,atrotibialis,(O. P.-Cambridge, 1878) E S W NI RI 
LINYPHIIDAE,Walckenaeria,capito,(Westring, 1861) E S W RI NS 
LINYPHIIDAE,Walckenaeria,incisa,(O. P.-Cambridge, 1871) E S W NS 
LINYPHIIDAE,Walckenaeria,dysderoides,(Wider, 1834) E S W NI RI NS 
LINYPHIIDAE,Walckenaeria,stylifrons,(O. P.-Cambridge, 1875) E NR V 
LINYPHIIDAE,Walckenaeria,nudipalpis,(Westring, 1851) E S W NI RI 
LINYPHIIDAE,Walckenaeria,obtusa,Blackwall, 1836 E S W NS 
LINYPHIIDAE,Walckenaeria,monoceros,(Wider, 1834) E S W RI NS 
LINYPHIIDAE,Walckenaeria,corniculans,(O. P.-Cambridge, 1875) E RI NR CE 
LINYPHIIDAE,Walckenaeria,furcillata,(Menge, 1869) E S W NS 
LINYPHIIDAE,Walckenaeria,unicornis,O. P.-Cambridge, 1861 E S W NI RI 
LINYPHIIDAE,Walckenaeria,kochi,(O. P.-Cambridge, 1872) E S W NI RI NS 
